nohup: ignoring input
IR US26 X1120651,X1120533,51204940
2026-05-05 20:02:35,410 - Worker-1 - INFO - Downloaded https://isg.ics.uci.edu/contact-us, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:35,496 - Worker-3 - INFO - Downloaded https://create.ics.uci.edu/research, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:35,769 - Worker-1 - INFO - Downloaded https://mhcid.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:35,791 - Worker-0 - INFO - Downloaded https://mswe.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:35,794 - Worker-3 - INFO - Downloaded http://cml.ics.uci.edu/2022/02/cml-faculty-elected-as-aaas-fellows, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:36,120 - Worker-1 - INFO - Downloaded https://ics.uci.edu/2024/05/30/mlstats-collaboration-leads-to-outstanding-student-paper-at-aistats, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:36,155 - Worker-3 - INFO - Downloaded https://create.ics.uci.edu/2021/04/06/atlas-kate-crawford, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:36,162 - Worker-2 - INFO - Downloaded https://isg.ics.uci.edu/alumni/nitishnag.wordpress.com, status <404>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:36,175 - Worker-2 - INFO - Downloaded https://www.ics.uci.edu/~dechter, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:36,179 - Worker-1 - INFO - Downloaded https://ngs.ics.uci.edu/blog, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:36,398 - Worker-0 - INFO - Downloaded https://nalini.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:36,433 - Worker-2 - INFO - Downloaded https://www.informatics.uci.edu/explore/faculty-profiles/aaron-trammell, status <404>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:36,433 - Worker-1 - INFO - Downloaded https://www.stat.uci.edu/faculty/dan-gillen, status <404>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:36,445 - Worker-2 - INFO - Downloaded https://tutoring.ics.uci.edu/resources, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:36,448 - Worker-1 - INFO - Downloaded https://summeracademy.ics.uci.edu/sessions-2026, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:36,498 - Worker-3 - INFO - Downloaded https://industryshowcase.ics.uci.edu/2022-industryshowcase, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:36,630 - Worker-2 - INFO - Downloaded https://ics.uci.edu/?people=24646, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:36,744 - Worker-1 - INFO - Downloaded https://acoi.ics.uci.edu/people, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:36,752 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~darkhipo, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:36,968 - Worker-0 - INFO - Downloaded https://oai.ics.uci.edu/programs-resources, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:37,088 - Worker-1 - INFO - Downloaded https://industryshowcase.ics.uci.edu/2019-industryshowcase/agenda, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:37,159 - Worker-2 - INFO - Downloaded https://cs.ics.uci.edu/research-centers, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:37,225 - Worker-3 - INFO - Downloaded https://cml.ics.uci.edu/alumni, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:37,376 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/about_contact.php, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:37,411 - Worker-3 - INFO - Downloaded https://ics.uci.edu/?people=jamie-lackey, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:37,451 - Worker-1 - INFO - Downloaded https://acoi.ics.uci.edu/2019/04/04/socal-theory-day, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:37,540 - Worker-2 - INFO - Downloaded https://stat.ics.uci.edu/slider/b-s-in-data-science, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:37,905 - Worker-1 - INFO - Downloaded https://cml.ics.uci.edu/2024/10/fall-2024, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:37,980 - Worker-3 - INFO - Downloaded https://mailman.ics.uci.edu/mailman/listinfo/mlrg, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:38,023 - Worker-2 - INFO - Downloaded https://ics.uci.edu/admissions/graduate, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:38,179 - Worker-3 - INFO - Downloaded https://code.ics.uci.edu/students, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:38,190 - Worker-0 - INFO - Downloaded https://mcs.ics.uci.edu/capstone-project, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:38,206 - Worker-1 - INFO - Downloaded https://informatics.ics.uci.edu/graduate-programs-admissions, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:38,455 - Worker-3 - INFO - Downloaded https://cml.ics.uci.edu/2024/05/outstanding-student-paper-award-at-aistats-2024, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:38,525 - Worker-2 - INFO - Downloaded https://ics.uci.edu/?people=joann-jamora, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:38,612 - Worker-1 - INFO - Downloaded https://isg.ics.uci.edu/courses, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:38,617 - Worker-0 - INFO - Downloaded https://mds.ics.uci.edu/academics, status <200>, using cache ('styx.ics.uci.edu', 9014).
